source,target,weight,match,type
Psycho,The Nyakes- Alexithymia,13,1066,Directed
???,leasey^,1,1083,Directed
Uldred,asd,2,1098,Directed
J.,brodericoh,1,1116,Directed
No more heroes,Kira,1,1126,Directed
Kirito,Mortal Vengeance,2,1133,Directed
Bedtime Bear,Daydream Bear,2,1134,Directed
Mikasa,Lucifer,7,1158,Directed
69,Insane,2,1159,Directed
69,bloodhound,2,1159,Directed
DK,Mineski FAN GAY,1,1179,Directed
DK,West Street Variety,1,1179,Directed
b1ngo,????,1,1183,Directed
'Ywp,Superman,1,1191,Directed
22,DoctorVox,1,1196,Directed
22,Quantum,1,1196,Directed
Saitama,Envy,3,1197,Directed
Saitama,Uchiha Madara,3,1197,Directed
Grom,Jon,3,1200,Directed
Grom,Thrall,3,1200,Directed
Coco,K,1,1201,Directed
D4D.EldestDad.420,Hans Moleman,2,1204,Directed
RFA,dotato,2,1211,Directed
Madness,Hansi,1,1216,Directed
Fayher,Rampage,2,1226,Directed
1738,MïќE LtR,1,1235,Directed
1738,Tahurtz,1,1235,Directed
1738,ausoi,1,1235,Directed
Dontores`,GeGe,3,1241,Directed
MrMkay,Sara :),1,1243,Directed
atreides,NotLikeThis,1,1256,Directed
Warrior,Hugs from Jewland,1,1284,Directed
Bob Ross,「Kushi」,1,1289,Directed
Dr.X,Bedtime Bear,1,1303,Directed
Dr.X,Daydream Bear,1,1303,Directed
emge,Spartacus,1,1313,Directed
Fire,rYaiEn,1,1315,Directed
Dembe,Fuzz,1,1326,Directed
Thunderdyne,.,1,1330,Directed
Ellimist,Pyro,2,1331,Directed
Ellimist,Shade,2,1331,Directed
Ellimist,StarScream -,2,1331,Directed
Jon Snow,Miracle-,3,1340,Directed
Runner Seven,Jack Sparrow,1,1346,Directed
xx,El Dude,1,1354,Directed
xx,Road to Al-Qaeda,1,1354,Directed
Evil,ATC,1,1386,Directed
Windalfr,Flex Luthor,1,1481,Directed
Goofy Hell,.inf,1,1496,Directed
Goofy Hell,KMZWAY87AA,1,1496,Directed
Goofy Hell,Lost_Faith,1,1496,Directed
Goofy Hell,[N]ooble,1,1496,Directed
322,Boobs-chan,1,1502,Directed
322,Moe-Chan,1,1502,Directed
twitch.tv/pesdota #Hope,G_G,2,1514,Directed
twitch.tv/pesdota #Hope,YBP,2,1514,Directed
Rin,-_-,1,1518,Directed
Ragnar,Omega,1,1534,Directed
Dontores`,Lucifer,1,1535,Directed
Big Smoke,Isoboy,1,1538,Directed
Bum bum - Bot,Sugy,1,1540,Directed
BB,000,1,1541,Directed
TheLast,feeder,1,1567,Directed
Gilgamesh,Gdo,3,1591,Directed
Warrior,Hugs from Jewland,1,1595,Directed
Hubcap,....,1,1604,Directed
XO,Richard,2,1605,Directed
Towelie,xWinkler,2,1606,Directed
Shade,StarScream -,3,1607,Directed
Thrall,Grom,4,1608,Directed
Thrall,Jon,4,1608,Directed
Goku,Etherus,1,1627,Directed
Chief,.,1,1629,Directed
Chief,Thejoyofdota FeelsBadMan,1,1629,Directed
He|ìx`,iPeon_GM,20,1640,Directed
Koppermouth,Ace,1,1644,Directed
Koppermouth,Eclipse,1,1644,Directed
klaytog,RuSup,2,1645,Directed
Fuuzzie,A,2,1656,Directed
Glen,Funk You,1,1662,Directed
Glen,K,1,1662,Directed
S A D B O Y,uhuhuh,3,1666,Directed
bneutrality,noob,1,1671,Directed
Kappa,MaX.OmEgA`,1,1688,Directed
12,zzz,3,1695,Directed
Alex,..........,3,1696,Directed
Alex,Solaris,3,1696,Directed
Alex,♥Savage,3,1696,Directed
Slap0r,change drug policy!!,1,1698,Directed
Slap0r,marcek,1,1698,Directed
[W],[A]dmiral Bullshit,9,1699,Directed
????????,G_G,1,1700,Directed
????????,twitch.tv/pesdota #Hope,1,1700,Directed
Psycho,HOPE,4,1711,Directed
J.J.,LOVE-is-EZ but I hate you,2,1723,Directed
J.J.,dream is ded,2,1723,Directed
(RU)Yoshiyoyoyo,David K,1,1725,Directed
.Atheris,XO,1,1729,Directed
Masaru shimasu,KK,3,1731,Directed
Flame,SamuraiJack,1,1742,Directed
321,Rebellion-SVK,2,1751,Directed
ausoi,2Q (暴怒的豆角儿),4,1766,Directed
Ѵirtualghost,Dragnipur,1,1771,Directed
Ѵirtualghost,Joker,1,1771,Directed
Ѵirtualghost,Mighty Manatee,1,1771,Directed
GeGe,scantid,2,1773,Directed
Shacklz,JOHN CENA,1,1774,Directed
LiverCheese,RL,2,1775,Directed
Bahmut,Jet,1,1778,Directed
Pain,Eimyx,1,1785,Directed
██████████�,Alien,2,1797,Directed
s4tarash,Jack Sparrow,1,1801,Directed
s4tarash,Mlcrosoft,1,1801,Directed
Argoniur,RoD,1,1807,Directed
Glen,:),2,1811,Directed
Glen,Funk You,2,1811,Directed
ihylmn,Solaris,1,1818,Directed
gorgeous,Gilgamesh,1,1846,Directed
Dragnipur,Mighty Manatee,1,1857,Directed
Dragnipur,Ѵirtualghost,1,1857,Directed
BuRN,O.o,7,1858,Directed
Dope,Porky's Butthole,1,1859,Directed
Dope,ausoi,1,1859,Directed
Grom,Jon,1,1865,Directed
Grom,Thrall,1,1865,Directed
G,Ti Eo Ti Em,1,1869,Directed
whatever,Kabuki warrior,1,1884,Directed
¯\_(ツ)_/¯,G. R. T.,1,1892,Directed
Brian,Descent,3,1893,Directed
7,Jake,1,1932,Directed
0range,.,1,1958,Directed
0range,Sigm4_,1,1958,Directed
Shacklz,Firefix,10,1960,Directed
Internet Explorer,Master,1,1970,Directed
Internet Explorer,Tobi,1,1970,Directed
Allison,5to7,2,1987,Directed
Up-iN*tHe.AiR,killzone,2,1996,Directed
Pingouin,Inigo,3,2008,Directed
WEE WILKINS WILLIAM,Hakuna Matata,3,2016,Directed
Elvis,Adam,1,2018,Directed
bneutrality,hehe,1,2031,Directed
s4tarash,Mlcrosoft,1,2045,Directed
Titane,wizn,1,2052,Directed
Nando,Goat,1,2053,Directed
Alison,Chopper,5,2071,Directed
Alison,El Dude,5,2071,Directed
happy little clouds,DarkPhoenix,2,2078,Directed
Ragnar,Heisenberg,1,2103,Directed
Cringer,FREDRIK,1,2123,Directed
Gucci MagiK,-_-,1,2157,Directed
Buzenbazen,MIE,2,2164,Directed
David K,< blank >,9,2170,Directed
Xin,haat.by,1,2171,Directed
Monkster,FOX,1,2178,Directed
DIabOluS,Delirium Tremens,1,2189,Directed
TheEye3,Marik,1,2195,Directed
Spooky,NKR,1,2199,Directed
Spooky,gg,1,2199,Directed
