source,target,weight,match,type
<my team? hidden pool hell,VaLoS,12,5342,Directed
<my team? hidden pool hell,[LGC].Yauri,12,5342,Directed
<my team? hidden pool hell,jashas,12,5342,Directed
<my team? hidden pool hell,♫NorToN♫,12,5342,Directed
Jeef,Gl_Light-GraHfiRe,12,5469,Directed
Jeef,JollyJoker,12,5469,Directed
Jeef,Knight.Black.HyperX,12,5469,Directed
Jeef,Myg,12,5469,Directed
Jeef,PEGASUS FANTASY,12,5469,Directed
Jeef,Radical,12,5469,Directed
Jeef,Standin.Lilian,12,5469,Directed
Jeef,Vendetta,12,5469,Directed
Jeef,el poetico,12,5469,Directed
Jeef,AzNTronix,12,5469,Directed
Jeef,Cazzee,12,5469,Directed
Jeef,Kurvin Sin Son,12,5469,Directed
Jeef,TeeMinus,12,5469,Directed
Jeef,Tooimba,12,5469,Directed
Jeef,sandoRClegane,12,5469,Directed
Jeef,yetiman,12,5469,Directed
#golfwang,2Pro4Show,13,6083,Directed
#golfwang,420 booty wizard,13,6083,Directed
#golfwang,Ashlyn,13,6083,Directed
#golfwang,Oops*?* 委内瑞拉,13,6083,Directed
#golfwang,TªKe cª®E byetch,13,6083,Directed
#golfwang,Z,13,6083,Directed
<3 mohad_baqir <3,Check the Pwners manual,14,6560,Directed
<3 mohad_baqir <3,General Stonewall Jukeson,14,6560,Directed
<3 mohad_baqir <3,JukeGyllenhaal,14,6560,Directed
<3 mohad_baqir <3,Martin Luther King Juker,14,6560,Directed
<3 mohad_baqir <3,[Dark]Knight,14,6560,Directed
<3 mohad_baqir <3,arsenal,14,6560,Directed
<3 mohad_baqir <3,cabz!,14,6560,Directed
<3 mohad_baqir <3,rymz04,14,6560,Directed
<3 mohad_baqir <3,"""RAGE''",14,6560,Directed
<3 mohad_baqir <3,AduLT   PrO >>>,14,6560,Directed
<3 mohad_baqir <3,Envy,14,6560,Directed
<3 mohad_baqir <3,Mr.Smile,14,6560,Directed
<3 mohad_baqir <3,Ms Cold,14,6560,Directed
<3 mohad_baqir <3,PTP.ΛΜЯѤ,14,6560,Directed
<3 mohad_baqir <3,TukangBegal,14,6560,Directed
<3 mohad_baqir <3,`KneeWANG`,14,6560,Directed
<3 mohad_baqir <3,セイバー,14,6560,Directed
Khanzeal,* LifeGoesOn,14,7439,Directed
Khanzeal,Mopo3ko,14,7439,Directed
Khanzeal,QQ™,14,7439,Directed
Khanzeal,efg,14,7439,Directed
Khanzeal,vaNiLLA.LATTE,14,7439,Directed
Alone,None,13,7829,Directed
Alone,Ori,13,7829,Directed
Alone,R A T B O Y,13,7829,Directed
Alone,SILENCE IN YOU HEART,13,7829,Directed
Alone,Stanley Steemer,13,7829,Directed
Alone,The Gigglemoose,13,7829,Directed
Alone,d_gg,13,7829,Directed
BLOBFISH,3500,11,8059,Directed
BLOBFISH,Swatty,11,8059,Directed
BLOBFISH,alumbra 2nite,11,8059,Directed
BLOBFISH,bfjsdfjinbijgokpmgpvsionndiscam,11,8059,Directed
BLOBFISH,fmj,11,8059,Directed
BLOBFISH,ʷ ʷ ʷ,11,8059,Directed
73,Axe Hacks,12,8492,Directed
73,Ezio,12,8492,Directed
73,Fish Eye,12,8492,Directed
73,Joe Blow - The Lover Man,12,8492,Directed
73,Mon[k]ey,12,8492,Directed
73,Nobo,12,8492,Directed
73,Westerhound,12,8492,Directed
73,ctCyyn,12,8492,Directed
73,tehgosh,12,8492,Directed
5K.SaintMichael,Asia,16,8613,Directed
5K.SaintMichael,Do.Oi'sELM.-DM-.,16,8613,Directed
5K.SaintMichael,LIZARD KING,16,8613,Directed
5K.SaintMichael,S.I.S.T.E.R.,16,8613,Directed
5K.SaintMichael,Vern Vandamn,16,8613,Directed
5K.SaintMichael,_ANDRE_,16,8613,Directed
5K.SaintMichael,rymz04,16,8613,Directed
5K.SaintMichael,AmpeeXD,16,8613,Directed
5K.SaintMichael,BUTCHiK,16,8613,Directed
5K.SaintMichael,FANTAR,16,8613,Directed
5K.SaintMichael,WeaponX,16,8613,Directed
BinK,7petjay,12,8908,Directed
BinK,KryptoR23,12,8908,Directed
BinK,Maggot,12,8908,Directed
BinK,Nates Ego Kappa(づ￣ ³￣)�,12,8908,Directed
BinK,TastyToast,12,8908,Directed
BinK,Vendetta,12,8908,Directed
BinK,whereisurgodnow,12,8908,Directed
Emil,123лекаръ,14,9119,Directed
Emil,=(,14,9119,Directed
Emil,Doc.Messir,14,9119,Directed
Emil,Synergy,14,9119,Directed
Emil,buzlightyear,14,9119,Directed
Emil,twitch.tv/wingbladedota,14,9119,Directed
LoL,Haifisch ôO,11,9219,Directed
LoL,"MNE POXUY, YA MID!",11,9219,Directed
LoL,Redgard,11,9219,Directed
LoL,Varaghar,11,9219,Directed
LoL,Vyde-senpai,11,9219,Directed
LoL,Господин Ведущий,11,9219,Directed
LoL,Chadness,11,9219,Directed
LoL,KEN-,11,9219,Directed
LoL,MAGIC,11,9219,Directed
LoL,Nothing`,11,9219,Directed
LoL,The End,11,9219,Directed
LoL,Tori Kelly,11,9219,Directed
LoL,ZzZzZz,11,9219,Directed
PaPoJ?,El Diablo,11,9505,Directed
PaPoJ?,Kristina si,11,9505,Directed
PaPoJ?,MWBoom,11,9505,Directed
PaPoJ?,WanCost,11,9505,Directed
PaPoJ?,wipe,11,9505,Directed
Jesus,EXO.DO.Dolorous Edd,16,9605,Directed
Jesus,Frost,16,9605,Directed
Jesus,MatyaX,16,9605,Directed
Jesus,NeedForDs,16,9605,Directed
Jesus,PenyOk,16,9605,Directed
Jesus,here new star jason,16,9605,Directed
Nyxilog,Genos,11,9616,Directed
Nyxilog,JCTan,11,9616,Directed
Nyxilog,JnD.DmP|King,11,9616,Directed
Nyxilog,JnD.nof,11,9616,Directed
Nyxilog,MattTheAvaricious,11,9616,Directed
Nyxilog,faith,11,9616,Directed
Nyxilog,mhervin_0016,11,9616,Directed
Nyxilog,shawn,11,9616,Directed
Nyxilog,Ctrl zYke Del,11,9616,Directed
Nyxilog,Pikachu™,11,9616,Directed
Nyxilog,SBY-BocahNekad,11,9616,Directed
Nyxilog,[C]roix,11,9616,Directed
Nyxilog,[RE] SETIPEN BOT,11,9616,Directed
Nyxilog,ao poenix,11,9616,Directed
Anakin Skywalker,DeadClown,11,10010,Directed
Anakin Skywalker,Eggsplorer,11,10010,Directed
Anakin Skywalker,Frontlemming,11,10010,Directed
Anakin Skywalker,GooglePoo,11,10010,Directed
Anakin Skywalker,Jaincks,11,10010,Directed
Anakin Skywalker,TheGreenBin,11,10010,Directed
Anakin Skywalker,Weaver SOUND,11,10010,Directed
Anakin Skywalker,jokerman,11,10010,Directed
PsYc3D,Lucky Boss,13,10304,Directed
PsYc3D,MaskGT,13,10304,Directed
PsYc3D,Rasa_Februar,13,10304,Directed
PsYc3D,Scary_Pumpkin,13,10304,Directed
PsYc3D,IIик,13,10304,Directed
PsYc3D,twitch.tv/intenwow,13,10304,Directed
PsYc3D,Мерн,13,10304,Directed
Bambus Kaktus,DemoN,11,10690,Directed
Bambus Kaktus,Lepo,11,10690,Directed
Bambus Kaktus,Mode,11,10690,Directed
Bambus Kaktus,Xpeasy,11,10690,Directed
Bambus Kaktus,А мне норм...,11,10690,Directed
Bambus Kaktus,Светлое Будущее,11,10690,Directed
Low Priority Games Left: 5 (MUT,Clean Press Press?,13,11949,Directed
Low Priority Games Left: 5 (MUT,Nando,13,11949,Directed
Low Priority Games Left: 5 (MUT,Oddjob P90,13,11949,Directed
