source,target,weight,match,type
KKK,method in my madness,2,2620,Directed
.,yolo,1,2623,Directed
Av,soy papá,1,2633,Directed
JukeSkywalker,JukeGyllenhaal,2,2664,Directed
JukeSkywalker,Martin Luther King Juker,2,2664,Directed
W,Teleport Scroll Expert,1,2707,Directed
Justice,Medivh,1,2719,Directed
Miska,SD.merlin,1,2724,Directed
Miska,Tallcat,1,2724,Directed
Miska,The Boy,1,2724,Directed
Rocco - Davaide and conquer,-25,2,2740,Directed
Marymar♥,< blank >,1,2762,Directed
Marymar♥,Psycho,1,2762,Directed
NotLikeThis,Fire,2,2784,Directed
Monster,G_G,3,2797,Directed
ZorN,Hunter,1,2844,Directed
Saitama,Silence,1,2903,Directed
werling44,new beginnings,1,2978,Directed
Garam,ALWAYSWANNAFLY,1,2985,Directed
Nexr,Nirvana,4,3014,Directed
TINKLES,Butthole,1,3032,Directed
TINKLES,Ho랑이,1,3032,Directed
TINKLES,Nx3,1,3032,Directed
aaron,Hi,2,3045,Directed
Myth,Neo,1,3051,Directed
Myth,Whatever,1,3051,Directed
Assassin,noob,1,3056,Directed
N A,Morgo,3,3067,Directed
Michael,Hurfdurf,2,3075,Directed
DIabOluS,Hero,1,3080,Directed
popo,"Jack ""ppc"" Pot",2,3086,Directed
J.,.,1,3113,Directed
J.,Josh,1,3113,Directed
Ephemeral,KappaPride,5,3114,Directed
Peter,Jeff,3,3120,Directed
MingLee,Kirito,1,3140,Directed
Smile,What's Poppin',2,3176,Directed
RBLR.Marcutio,RBLR.dany fuckin heatley,1,3178,Directed
RBLR.Marcutio,Rick Sanchez,1,3178,Directed
D4D.EldestDad.420,425,1,3221,Directed
Vanity,Kain,1,3282,Directed
General Stonewall Jukeson,JukeGyllenhaal,1,3283,Directed
General Stonewall Jukeson,JukeSkywalker,1,3283,Directed
General Stonewall Jukeson,Martin Luther King Juker,1,3283,Directed
G_G,????,2,3314,Directed
RBLR.dany fuckin heatley,RBLR.Marcutio,2,3332,Directed
RBLR.dany fuckin heatley,Rick Sanchez,2,3332,Directed
JMT,Jason,3,3368,Directed
JMT,Light,3,3368,Directed
Deodorant spray,TheGentleman,3,3380,Directed
Ez,No more heroes,8,3391,Directed
Hakuna Matata,TINKLES,3,3397,Directed
Thomas The Dank Engine,Dall,1,3407,Directed
OnePunchMan,twitch.tv/HaroldAgas17,1,3428,Directed
Pablo Escobar,22sjpog,1,3434,Directed
HARRI$,TED,1,3506,Directed
Onions123,kellyMONKEYS,1,3511,Directed
Boobs-chan,Moe-Chan,1,3524,Directed
Kingslayer,Number Juan Doto Player,2,3544,Directed
Kingslayer,Terpcasl,2,3544,Directed
Fayher,JAFAR,1,3573,Directed
Jack,General Stonewall Jukeson,2,3583,Directed
Jack,Martin Luther King Juker,2,3583,Directed
RBLR.dany fuckin heatley,Rick Sanchez,1,3590,Directed
.,Alpha,1,3620,Directed
Feelsbadman,Michael,1,3634,Directed
Feelsbadman,ndlz,1,3634,Directed
Moe-Chan,Boobs-chan,1,3660,Directed
Matthew,Gates,1,3681,Directed
Clueless,Virus,2,3695,Directed
@hiro,kk,1,3715,Directed
Alpha,Zero,1,3722,Directed
Mottley,VdoubleI,1,3725,Directed
Number Juan Doto Player,420 booty wizard,2,3727,Directed
Number Juan Doto Player,Terpcasl,2,3727,Directed
confessor,Gates,1,3728,Directed
Snipe Desu~,Midnight,4,3731,Directed
TINKLES,Black Jesus,1,3734,Directed
TINKLES,Flash,1,3734,Directed
Do --,Madness,1,3780,Directed
Hope,ausoi,1,3814,Directed
KappaPride,Hard Mode,1,3861,Directed
Hansi,EXCLUSIVE,2,3897,Directed
Carlos,zzz,2,3912,Directed
Alex,Fly,2,3927,Directed
Greed,322,2,3944,Directed
